food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
192;Cupuaçu, cru;49.4;1.2;10.4;3.1;NULL
193;Cupuaçu, polpa, congelada;48.8;0.8;11.4;1.6;NULL
194;Figo, cru;41.4;1.0;10.2;1.8;NULL
195;Figo, enlatado, em calda;184.4;0.6;50.3;2.0;NULL
196;Fruta-pão, crua;67.0;1.1;17.2;5.5;NULL
197;Goiaba, branca, com casca, crua;51.7;0.9;12.4;6.3;NULL
198;Goiaba, doce em pasta;269.0;0.6;74.1;3.7;NULL
199;Goiaba, doce, cascão;285.6;0.4;78.7;4.4;NULL
200;Goiaba, vermelha, com casca, crua;54.2;1.1;13.0;6.2;NULL
201;Graviola, crua;61.6;0.8;15.8;1.9;NULL
202;Graviola, polpa, congelada;38.3;0.6;9.8;1.2;NULL
203;Jabuticaba, crua;58.1;0.6;15.3;2.3;NULL
204;Jaca, crua;87.9;1.4;22.5;2.4;NULL
205;Jambo, cru;26.9;0.9;6.5;5.1;NULL
206;Jamelão, cru;41.0;0.5;10.6;1.8;NULL
207;Kiwi, cru;51.1;1.3;11.5;2.7;NULL
208;Laranja, baía, crua;45.4;1.0;11.5;1.1;NULL
209;Laranja, baía, suco;36.6;0.7;8.7;0.0;NULL
210;Laranja, da terra, crua;51.5;1.1;12.9;4.0;NULL
211;Laranja, da terra, suco;41.0;0.7;9.6;1.0;NULL
212;Laranja, lima, crua;45.7;1.1;11.5;1.8;NULL
213;Laranja, lima, suco;39.3;0.7;9.2;0.4;NULL
214;Laranja, pêra, crua;36.8;1.0;8.9;0.8;NULL
215;Laranja, pêra, suco;32.7;0.7;7.6;0.0;NULL
216;Laranja, valência, crua;46.1;0.8;11.7;1.7;NULL
217;Laranja, valência, suco;36.2;0.5;8.6;0.4;NULL
218;Limão, cravo, suco;14.1;0.3;5.2;0.0;NULL
219;Limão, galego, suco;22.2;0.6;7.3;0.0;NULL
220;Limão, tahiti, cru;31.8;0.9;11.1;1.2;NULL
221;Maçã, Argenti , com casca, crua;62.5;0.2;16.6;2.0;NULL
222;Maçã, Fuji, com casca, crua;55.5;0.3;15.2;1.3;NULL
223;Macaúba, crua;404.3;2.1;13.9;13.4;NULL
224; Mamão, doce em calda, dre do;195.6;0.2;54.0;1.3;NULL
225;Mamão, Formosa, cru;45.3;0.8;11.6;1.8;NULL
226;Mamão, Papaia, cru;40.2;0.5;10.4;1.0;NULL
227; Mamão verde, doce em calda, dre do;209.4;0.3;57.6;1.2;NULL
228;Manga, Haden, crua;63.5;0.4;16.7;1.6;NULL
229;Manga, Palmer, crua;72.5;0.4;19.4;1.6;NULL
230;Manga, polpa, congelada;48.3;0.4;12.5;1.1;NULL
231;Manga, Tommy Atkins, crua;50.7;0.9;12.8;2.1;NULL
232;Maracujá, cru;68.4;2.0;12.3;1.1;NULL
233;Maracujá, polpa, congelada;38.8;0.8;9.6;0.5;NULL
234;Maracujá, suco concen ado, envasado;42.0;0.8;9.6;0.4;NULL
235;Melancia, crua;32.6;0.9;8.1;0.1;NULL
236;Melão, cru;29.4;0.7;7.5;0.3;NULL
237;Mexerica, Murcote, crua;57.6;0.9;14.9;3.1;NULL
238;Mexerica, Rio, crua;36.9;0.7;9.3;2.7;NULL
